suburb,suburb_population,suburb_median_income
Kincumber,7093,29432
Chittaway Bay,2028,31668
Leumeah,9835,32292
Bensville,2545,36764
Toukley,4550,25844
Point Clare,3731,31772
Picnic Point,6160,40560
North Rocks,7965,40092
Winmalee,6202,38740
Concord,14533,39052
Acacia Gardens,3798,47060
Wetherill Park,6127,25688
Dolans Bay,598,46800
North Avoca,2200,45084
Greenhills Beach,792,59592
Bass Hill,9069,24388
Elanora Heights,4357,44460
Leichhardt,14625,56784
Narara,7934,34632
Canley Vale,10216,20592
Killcare Heights,745,40716
Avalon Beach,9905,43628
Petersham,8116,52884
Burwood,16030,24856
Eastlakes,6912,25740
Panania,12419,34216
Killarney Vale,7216,30108
Drummoyne,11950,60840
Russell Lea,5001,47684
Mascot,14772,41912
Bossley Park,14585,25012
Beecroft,9396,47112
Rodd Point,1376,44876
Ermington,10737,33644
Padstow Heights,3540,34268
Blackwall,1888,31148
Alexandria,8262,69732
Macmasters Beach,1294,37440
Wyong,4326,25480
Como,3977,49296
Birchgrove,3303,78780
East Killara,2978,38428
West Pymble,5298,48672
Putney,4107,44876
Narellan Vale,7193,40352
Revesby,14176,31616
Empire Bay,2400,32604
Pennant Hills,7287,43472
Woodcroft,6440,40768
East Gosford,4238,31252
Carss Park,1252,36816
Oran Park,4765,50336
Kingswood,9301,33228
Pretty Beach,352,34320
Bradbury,8800,31980
Budgewoi,3360,29120
Mannering Park,2472,28964
Taren Point,1734,36296
Rouse Hill,7965,45812
Riverstone,7247,36764
Lewisham,3164,48204
South Penrith,11790,37024
Balgowlah Heights,3342,59228
Edensor Park,9772,25376
Forresters Beach,2900,35932
Sandy Point,590,48880
Wagstaffe,222,41964
Kyle Bay,1035,47528
Narraweena,6608,34008
Asquith,3376,40924
Doonside,13451,27612
Botany,10817,46800
Lurnea,9311,22724
The Ponds,11731,53716
Penshurst,12786,34684
Castle Cove,2554,50856
East Lindfield,3711,47788
Mount Druitt,16726,26000
Ingleburn,15039,33124
Eastwood,17865,30368
Fairfield Heights,7517,20696
Tempe,3556,41600
Casula,15662,30368
Chiswick,2926,65676
Paddington,12911,73944
Peakhurst,10539,31876
Mount Pritchard,9955,24128
Camperdown,10341,46228
Terrey Hills,3041,42484
Carlton,10722,32656
Berkeley Vale,8355,33852
Prestons,15313,36244
Toowoon Bay,530,29588
St Clair,19897,38896
Spring Farm,4307,53196
South Hurstville,5147,30784
Chipping Norton,9001,35880
Rozelle,8725,75764
Berowra,4721,44200
Hardys Bay,227,35828
Kariong,6385,36556
Lilyfield,7616,58916
Collaroy Plateau,4767,45500
Beverly Hills,10156,30628
Mount Annan,11703,43680
Woongarrah,5226,35256
Church Point,997,54132
Glen Alpine,4559,41912
Greystanes,22802,33800
Avoca Beach,4584,39728
Haberfield,6457,41652
Georges Hall,9038,29640
Rooty Hill,14704,33176
Cecil Hills,7018,34944
Marsden Park,1008,32500
Lidcombe,19627,27248
Sans Souci,10304,37336
Point Frederick,1927,36868
Colebee,1931,56368
Long Jetty,6390,28288
St Peters,3145,58968
Ettalong Beach,4793,25792
Niagara Park,2743,33384
Whale Beach,253,63128
Wentworthville,11318,34320
Hamlyn Terrace,6069,29952
Freshwater,8866,57044
Hunters Hill,9528,48828
Oxley Park,3112,33020
Earlwood,17741,35412
Marsfield,13297,32448
Clontarf,1737,59280
Milperra,3952,36244
Killara,10574,49452
Roseville Chase,1616,52728
Merrylands,29653,25272
San Remo,4351,27248
Glenfield,9633,37024
Jordan Springs,5156,50076
Bateau Bay,12146,30316
St Marys,12195,32760
East Hills,3206,34268
Claremont Meadows,4776,41704
Middle Cove,1340,53404
Caringbah South,12242,42172
Arncliffe,10590,32708
Greenacre,24373,22672
Clareville,742,57148
Stanmore,7938,55484
South Coogee,5502,39260
Blaxland,7451,40716
Lakemba,17023,22204
Toongabbie,14337,34996
Hurlstone Park,4692,39624
Campsie,24541,25272
Berala,9049,24544
Charmhaven,2551,28288
Engadine,17375,41756
Lane Cove,10817,58084
Melrose Park,1574,41028
Manly Vale,6160,48620
St Ives,17300,48464
The Entrance North,1474,31148
Pendle Hill,7247,30680
Balmain,10453,69784
Ropes Crossing,6171,44304
Kings Park,3453,43420
Turramurra,11919,49920
Lake Munmorah,5248,27092
Marayong,7706,30992
Stanhope Gardens,9163,45864
Bangor,5568,44096
Minchinbury,5619,37648
Chatswood,24913,38324
Concord West,5914,39104
Bexley,19733,31512
Wahroonga,17371,47424
Prospect,4716,37544
Jannali,6184,40560
Koolewong,871,35828
North Strathfield,4767,42952
Enmore,3880,53872
Thornleigh,8464,43160
Penrith,13295,32240
Kingsgrove,12446,30576
Strathfield South,3546,36660
Redfern,13213,51532
Belmore,12718,26208
